N,P,K,temperature,humidity,ph,rainfall,soil_type,state,season,crop
61.85,8.36,96.88,22.72,72.54,5.61,890.13,Laterite,Andhra Pradesh,Rabi,Tobacco
138.51,7.08,154.94,18.85,38.51,6.09,1377.49,Laterite,Madhya Pradesh,Kharif,Coffee
49.55,12.54,101.71,18.97,42.72,9.38,444.63,Saline,Rajasthan,Rabi,Barley
189.12,18.36,72.68,34.15,76.45,6.07,2313.38,Red,Assam,Kharif,Banana
61.11,21.81,72.97,26.66,76.72,5.54,2195.83,Red,Assam,Zaid,Banana
100.94,11.52,118.49,21.77,70.92,6.49,548.62,Sandy,Haryana,Rabi,Mustard
56.03,8.28,86.04,10.75,34.08,6.8,420.18,Sandy,Punjab,Kharif,Bajra
56.76,10.69,159.58,7.49,29.11,5.78,664.17,Red,Rajasthan,Kharif,Maize
143.9,28.59,201.62,18.5,66.8,7.44,597.54,Alluvial,Haryana,Zaid,Potato
176.48,12.5,105.71,6.37,53.26,7.36,638.41,Clay,Punjab,Rabi,Wheat
249.97,33.63,59.31,20.13,82.27,7.4,1040.7,Alluvial,Tamil Nadu,Rabi,Tobacco
87.44,20.33,158.16,40.46,65.25,6.27,1073.77,Red,Telangana,Zaid,Banana
124.38,7.2,232.33,44.59,21.31,5.78,614.96,Red,Rajasthan,Kharif,Maize
149.53,15.41,99.07,29.21,62.2,6.2,1992.16,Laterite,West Bengal,Kharif,Coconut
124.81,16.25,103.54,41.63,57.51,6.33,447.2,Sandy,Haryana,Kharif,Sesame
68.79,4.72,51.09,20.75,53.51,6.3,1215.85,Laterite,Madhya Pradesh,Rabi,Wheat
301.53,31.07,93.53,25.95,61.53,7.18,1485.0,Alluvial,Bihar,Kharif,Sugarcane
203.83,11.39,221.63,34.29,62.58,8.3,1486.43,Black,Tamil Nadu,Rabi,Jowar
55.01,7.32,54.06,17.63,18.23,9.42,218.65,Saline,Rajasthan,Zaid,Potato
91.5,5.82,42.26,23.36,38.86,6.77,761.86,Sandy,Gujarat,Kharif,Groundnut
139.97,21.62,106.23,21.26,80.15,8.17,1394.13,Black,Tamil Nadu,Rabi,Wheat
259.63,15.95,180.9,41.46,46.11,7.13,960.81,Black,Telangana,Zaid,Banana
96.61,9.45,125.26,36.04,31.15,6.5,740.2,Sandy,Punjab,Rabi,Potato
115.76,12.73,258.41,30.81,79.21,8.46,1765.94,Black,Odisha,Kharif,Sugarcane
371.39,26.65,290.38,18.09,79.65,6.91,2406.93,Alluvial,West Bengal,Rabi,Mustard
189.04,30.43,139.11,35.48,79.4,8.1,1186.34,Black,Andhra Pradesh,Zaid,Banana
92.19,18.06,167.81,21.2,55.11,7.82,1491.85,Clay,Bihar,Kharif,Sugarcane
357.24,25.67,71.71,14.57,77.72,7.46,1576.44,Alluvial,Bihar,Kharif,Sugarcane
143.92,26.65,114.46,5.82,43.49,6.38,627.88,Clay,Uttar Pradesh,Zaid,Potato
302.74,33.26,129.72,21.54,66.91,7.94,1194.75,Alluvial,Tamil Nadu,Rabi,Tobacco
261.93,12.9,65.09,25.52,44.99,7.66,702.9,Alluvial,Haryana,Kharif,Cotton
64.23,7.8,112.78,30.0,52.11,5.93,387.87,Sandy,Rajasthan,Kharif,Bajra
172.0,8.97,47.17,31.58,79.16,5.7,835.59,Sandy,Tamil Nadu,Zaid,Banana
240.17,12.79,165.58,38.76,37.42,6.94,515.78,Clay,Punjab,Kharif,Cotton
68.39,14.13,82.86,27.28,75.24,5.65,1940.84,Laterite,Kerala,Kharif,Coconut
207.23,23.32,344.81,25.85,91.02,7.47,2274.35,Alluvial,Assam,Rabi,Tobacco
188.41,25.49,160.25,28.95,82.11,6.72,1197.28,Alluvial,Andhra Pradesh,Kharif,Sugarcane
63.19,11.55,149.31,37.44,73.14,5.43,1098.14,Laterite,Tamil Nadu,Zaid,Banana
48.73,13.26,124.91,32.96,65.07,5.25,871.23,Laterite,Andhra Pradesh,Kharif,Ragi
143.45,15.87,133.84,42.81,54.14,7.44,1147.74,Black,Madhya Pradesh,Rabi,Wheat
74.48,12.01,125.72,22.56,70.55,6.68,2835.97,Red,Kerala,Zaid,Banana
137.53,7.54,251.53,35.63,69.35,6.5,612.12,Red,Andhra Pradesh,Rabi,Chilli
118.6,5.14,88.65,15.98,78.36,5.51,2087.13,Laterite,Assam,Rabi,Potato
87.88,6.84,86.34,35.08,87.27,6.06,1415.53,Laterite,Odisha,Kharif,Jute
287.37,7.59,174.33,37.42,77.27,6.97,1197.65,Alluvial,Gujarat,Zaid,Banana
72.25,5.6,58.34,31.99,72.66,7.01,1441.19,Sandy,Tamil Nadu,Kharif,Coconut
110.82,7.83,227.06,34.78,76.69,8.4,877.2,Black,Tamil Nadu,Kharif,Sugarcane
115.63,25.85,140.18,27.1,80.08,7.87,2767.0,Alluvial,Maharashtra,Kharif,Sugarcane
135.16,11.6,60.79,29.42,67.09,5.88,1224.95,Laterite,Tamil Nadu,Kharif,Coconut
218.35,11.32,301.94,34.6,78.58,7.99,681.62,Black,Tamil Nadu,Zaid,Banana
137.75,16.82,124.82,17.82,31.84,5.05,1573.21,Laterite,Madhya Pradesh,Kharif,Tea
57.68,2.28,49.86,34.93,72.07,5.31,2226.97,Laterite,Kerala,Kharif,Rubber
100.97,5.79,49.67,16.66,71.75,5.56,766.75,Sandy,Haryana,Zaid,Potato
191.22,10.17,95.98,39.14,83.97,7.96,1339.5,Alluvial,Odisha,Zaid,Banana
131.2,5.34,74.57,24.89,71.76,6.39,2895.57,Laterite,Assam,Rabi,Potato
104.68,24.02,190.78,24.72,63.61,8.06,1607.39,Black,Odisha,Kharif,Rice
75.45,17.23,143.62,34.46,69.41,6.63,645.45,Red,Andhra Pradesh,Rabi,Tobacco
171.39,4.11,63.11,33.84,77.74,7.37,1569.86,Sandy,West Bengal,Kharif,Coconut
43.89,11.53,61.92,37.52,75.43,6.22,2048.37,Sandy,West Bengal,Rabi,Potato
204.83,10.01,97.23,36.47,46.74,7.96,391.4,Black,Gujarat,Kharif,Cotton
47.86,5.71,63.52,22.79,61.94,7.1,1010.99,Sandy,Gujarat,Kharif,Tobacco
242.19,23.07,272.95,26.89,71.58,7.71,943.53,Black,Andhra Pradesh,Kharif,Sugarcane
60.6,9.57,133.65,17.72,65.41,5.79,1531.75,Red,Madhya Pradesh,Zaid,Potato
287.1,19.25,295.01,29.6,87.09,6.71,1709.0,Alluvial,Kerala,Rabi,Jowar
105.3,2.84,101.38,7.01,70.25,6.29,370.29,Sandy,Haryana,Rabi,Mustard
242.67,27.7,166.4,29.31,42.32,8.3,967.13,Black,Madhya Pradesh,Zaid,Banana
149.69,22.19,184.51,6.37,29.98,7.77,624.88,Alluvial,Rajasthan,Zaid,Potato
59.18,10.4,162.17,30.65,86.98,7.14,2128.44,Sandy,West Bengal,Rabi,Mustard
311.07,8.56,74.22,26.32,45.03,6.59,2475.37,Alluvial,Maharashtra,Rabi,Jowar
257.76,15.66,115.01,18.48,42.73,7.79,865.86,Clay,Punjab,Zaid,Potato
175.87,26.66,128.62,30.86,35.62,6.72,785.2,Clay,Punjab,Kharif,Sugarcane
36.5,8.63,167.51,26.56,66.23,6.51,874.36,Sandy,Uttar Pradesh,Rabi,Groundnut
140.92,10.58,61.15,20.09,61.88,5.61,1155.11,Laterite,Maharashtra,Zaid,Potato
66.9,3.49,60.99,24.7,66.74,6.86,1357.47,Sandy,Bihar,Kharif,Turmeric
69.13,21.49,77.92,32.51,64.5,6.27,1067.8,Red,Karnataka,Kharif,Cotton
84.01,12.24,142.25,22.74,44.07,5.66,1726.67,Red,Maharashtra,Kharif,Coffee
151.58,11.66,44.0,26.21,56.12,5.73,1206.31,Laterite,Madhya Pradesh,Zaid,Banana
58.03,7.08,70.76,33.23,40.81,6.56,200.76,Sandy,Rajasthan,Zaid,Banana
157.14,39.05,255.91,27.33,63.9,7.86,1249.99,Alluvial,Karnataka,Kharif,Sugarcane
77.76,15.32,147.54,33.98,86.17,7.57,3222.52,Alluvial,Kerala,Rabi,Jowar
79.9,12.88,143.74,33.65,62.25,5.58,2046.66,Laterite,Karnataka,Rabi,Jowar
51.49,9.33,82.33,7.84,30.8,6.8,768.92,Sandy,Haryana,Zaid,Potato
133.91,14.68,136.91,28.59,78.81,5.99,981.35,Red,Andhra Pradesh,Rabi,Chilli
57.34,15.5,74.16,30.12,75.46,5.91,1660.32,Laterite,Kerala,Rabi,Maize
217.33,14.23,400.82,20.33,57.39,7.98,1741.34,Black,Maharashtra,Kharif,Sugarcane
60.15,20.71,83.46,19.73,55.0,5.36,1581.16,Laterite,Madhya Pradesh,Rabi,Gram
275.36,33.64,110.62,31.89,80.51,7.12,828.78,Alluvial,Tamil Nadu,Zaid,Banana
296.21,34.49,200.1,42.32,73.58,7.97,862.06,Alluvial,Madhya Pradesh,Rabi,Tobacco
202.05,11.38,348.55,30.14,62.96,6.74,1630.95,Alluvial,Maharashtra,Zaid,Banana
40.42,3.87,32.44,38.47,60.67,6.18,1118.75,Sandy,Gujarat,Rabi,Groundnut
109.02,15.3,75.28,18.83,71.48,5.39,1104.52,Laterite,Madhya Pradesh,Kharif,Coffee
43.46,14.82,32.32,27.72,77.05,5.54,1151.66,Laterite,Andhra Pradesh,Zaid,Banana
357.33,21.47,251.07,24.83,82.44,7.82,1493.77,Alluvial,Bihar,Zaid,Banana
249.87,18.58,241.48,21.21,79.33,7.84,1547.53,Alluvial,Assam,Kharif,Tea
121.91,17.31,112.95,11.57,78.49,5.52,2418.93,Red,West Bengal,Rabi,Potato
125.06,20.43,92.39,16.31,75.89,6.14,2003.89,Laterite,Maharashtra,Rabi,Potato
83.97,9.75,187.98,25.34,47.96,5.76,1000.67,Red,Telangana,Rabi,Maize
147.19,13.58,90.9,22.65,55.92,5.88,3257.94,Laterite,Karnataka,Kharif,Ragi
310.34,20.67,342.13,28.62,69.31,7.36,1525.03,Black,Odisha,Zaid,Banana
144.22,44.13,297.88,27.97,77.79,6.95,1715.2,Alluvial,Kerala,Rabi,Chilli
184.63,8.01,161.43,31.55,41.58,6.1,1010.0,Laterite,Madhya Pradesh,Zaid,Banana
80.89,23.06,95.55,32.83,41.49,5.8,1488.6,Laterite,Maharashtra,Kharif,Coconut
110.54,20.87,96.69,20.0,58.1,5.97,1386.74,Laterite,Odisha,Zaid,Potato
190.22,7.43,264.22,41.74,73.89,8.41,1192.81,Black,Telangana,Zaid,Banana
198.56,23.97,193.28,10.28,78.53,6.91,1459.45,Alluvial,Madhya Pradesh,Kharif,Sugarcane
117.42,5.16,55.58,20.19,70.36,6.13,650.12,Sandy,Uttar Pradesh,Rabi,Potato
102.22,4.29,59.25,22.67,61.18,5.91,475.28,Sandy,Gujarat,Kharif,Groundnut
90.54,5.68,92.24,36.06,72.7,6.15,853.87,Laterite,Telangana,Zaid,Potato
98.18,12.75,143.34,28.54,61.68,5.99,1462.95,Sandy,Bihar,Zaid,Potato
80.3,12.68,67.97,32.51,46.92,5.25,1452.01,Laterite,Maharashtra,Kharif,Coconut
87.44,4.24,71.01,29.16,79.57,5.95,1423.85,Sandy,Tamil Nadu,Zaid,Banana
137.89,23.01,217.72,32.52,54.94,7.8,793.94,Black,Gujarat,Rabi,Tobacco
86.07,8.19,254.35,29.33,80.93,6.96,2919.92,Red,Assam,Kharif,Banana
355.33,18.7,257.11,27.98,64.59,7.37,1105.62,Alluvial,Madhya Pradesh,Kharif,Sugarcane
105.57,10.35,95.36,23.93,87.62,6.9,2594.74,Red,Kerala,Zaid,Banana
36.29,6.07,45.03,17.0,67.66,6.12,1084.12,Sandy,Gujarat,Zaid,Potato
214.77,25.17,91.33,34.78,40.74,6.63,723.73,Alluvial,Haryana,Zaid,Banana
110.66,3.5,58.2,28.38,45.82,8.82,920.26,Saline,Gujarat,Zaid,Banana
127.09,8.21,107.69,21.82,44.83,6.84,569.01,Alluvial,Haryana,Kharif,Cotton
169.88,19.21,95.24,30.58,84.66,6.87,1024.81,Red,Andhra Pradesh,Zaid,Banana
99.04,5.08,76.86,33.36,51.05,6.38,1237.2,Laterite,Madhya Pradesh,Kharif,Coconut
30.47,4.59,31.08,18.55,32.17,5.86,655.42,Sandy,Gujarat,Rabi,Groundnut
87.3,14.06,144.54,16.27,71.13,6.78,2462.75,Alluvial,Assam,Rabi,Potato
166.0,14.12,216.02,32.13,68.98,7.07,878.16,Black,Telangana,Rabi,Chilli
99.49,35.65,91.9,37.08,52.51,7.55,747.44,Clay,Punjab,Kharif,Cotton
163.11,19.54,149.37,22.99,70.37,7.04,1116.23,Black,Tamil Nadu,Zaid,Banana
326.64,37.88,146.99,12.68,54.5,7.48,1559.33,Clay,Bihar,Zaid,Banana
135.14,6.85,41.18,34.57,49.28,5.59,438.31,Sandy,Haryana,Kharif,Bajra
189.12,12.15,129.08,36.85,59.18,7.26,1404.24,Black,Madhya Pradesh,Kharif,Sugarcane
139.8,22.93,204.01,37.26,71.87,6.94,694.43,Clay,Punjab,Zaid,Banana
77.19,9.93,194.28,23.9,83.71,6.15,762.22,Red,Andhra Pradesh,Zaid,Potato
46.44,6.71,174.07,40.64,30.39,6.09,872.44,Sandy,Uttar Pradesh,Kharif,Ragi
153.41,21.15,105.98,8.97,44.39,7.13,788.94,Alluvial,Punjab,Rabi,Wheat
255.59,28.92,76.74,23.97,58.38,7.84,1383.87,Black,Odisha,Kharif,Rice
273.79,25.45,288.59,14.44,37.83,7.0,740.96,Alluvial,Uttar Pradesh,Kharif,Jowar
153.06,4.82,84.6,19.92,69.77,5.8,3332.02,Laterite,Karnataka,Rabi,Potato
181.0,6.27,148.6,30.88,77.21,5.93,1047.51,Red,Tamil Nadu,Zaid,Banana
205.66,8.67,169.11,30.23,84.98,5.33,1346.03,Laterite,West Bengal,Kharif,Coconut
61.23,9.19,186.24,23.44,55.79,6.1,730.82,Red,Andhra Pradesh,Rabi,Tobacco
61.58,12.79,164.52,14.19,38.01,6.0,1437.83,Red,Madhya Pradesh,Zaid,Banana
43.62,9.36,126.98,29.44,58.67,5.58,1692.54,Sandy,West Bengal,Kharif,Coconut
305.67,33.79,222.8,36.52,65.08,7.15,2155.32,Alluvial,Karnataka,Zaid,Banana
143.11,21.59,156.65,20.52,57.93,6.76,1471.38,Alluvial,Odisha,Rabi,Wheat
253.03,18.08,202.84,33.92,30.06,7.11,443.57,Clay,Punjab,Kharif,Sugarcane
145.3,7.42,71.55,36.66,30.19,7.98,978.92,Alluvial,Madhya Pradesh,Rabi,Gram
55.49,9.41,90.8,33.76,45.63,9.08,552.14,Saline,Rajasthan,Kharif,Bajra
82.22,5.93,103.9,35.04,91.18,6.05,3630.48,Red,Kerala,Zaid,Banana
78.27,23.5,190.26,34.79,88.96,7.0,1619.34,Red,Odisha,Zaid,Banana
335.22,14.73,65.08,28.41,87.99,7.37,1616.86,Alluvial,Odisha,Rabi,Groundnut
195.02,15.61,180.97,32.34,81.17,6.75,963.08,Red,Tamil Nadu,Zaid,Banana
44.27,11.89,70.43,10.85,67.85,7.24,438.64,Sandy,Haryana,Zaid,Potato
129.16,5.44,158.91,19.35,74.1,6.48,1265.93,Laterite,Odisha,Rabi,Potato
80.6,7.49,24.46,30.26,77.73,6.7,1351.35,Sandy,Tamil Nadu,Zaid,Banana
77.28,5.68,95.09,20.95,77.05,6.72,1063.04,Sandy,Bihar,Rabi,Maize
208.56,25.57,110.04,37.2,76.87,6.35,1183.26,Clay,Bihar,Kharif,Sugarcane
316.71,22.8,313.54,42.52,74.07,7.56,525.66,Clay,Punjab,Zaid,Potato
326.97,38.22,93.12,41.97,70.23,7.97,1166.26,Alluvial,Uttar Pradesh,Kharif,Sugarcane
132.43,40.5,136.39,26.68,61.24,6.54,2194.12,Alluvial,Karnataka,Rabi,Jowar
71.18,7.09,71.52,10.47,70.16,6.58,1372.06,Sandy,Bihar,Rabi,Potato
196.9,18.5,137.89,17.98,53.42,6.89,702.23,Alluvial,Haryana,Kharif,Cotton
186.2,21.61,61.46,33.99,43.14,7.85,1510.01,Alluvial,Madhya Pradesh,Kharif,Sugarcane
104.62,6.76,271.03,26.26,76.84,8.28,3480.06,Black,Karnataka,Rabi,Chilli
171.77,12.81,166.57,29.45,69.36,7.81,1797.99,Alluvial,Odisha,Kharif,Sugarcane
68.44,12.02,74.25,11.25,61.1,6.46,2194.56,Laterite,West Bengal,Rabi,Wheat
224.22,20.79,178.28,28.18,66.9,7.25,1301.34,Alluvial,Madhya Pradesh,Kharif,Sugarcane
143.34,27.01,257.93,13.57,55.27,6.77,1597.55,Alluvial,West Bengal,Zaid,Potato
128.51,27.32,172.19,26.88,53.01,7.24,3008.56,Black,Karnataka,Kharif,Cotton
157.31,8.26,195.32,13.33,25.65,7.19,770.97,Alluvial,Rajasthan,Rabi,Wheat
99.23,14.39,39.68,15.35,78.18,6.41,1393.73,Laterite,Odisha,Rabi,Potato
113.82,6.75,73.33,28.39,55.38,9.47,509.75,Saline,Rajasthan,Rabi,Maize
119.62,15.19,103.69,13.19,73.31,6.13,1566.46,Red,Madhya Pradesh,Kharif,Banana
375.59,30.9,93.52,14.35,83.12,6.96,2406.87,Alluvial,Assam,Kharif,Jute
174.65,18.42,141.25,19.78,84.64,7.06,2351.5,Alluvial,Assam,Zaid,Banana
171.65,13.26,70.19,25.69,74.69,6.4,1146.08,Laterite,Tamil Nadu,Zaid,Banana
25.21,8.89,30.64,23.52,24.19,6.93,556.72,Sandy,Rajasthan,Rabi,Gram
81.08,18.13,95.17,19.58,71.21,8.31,954.42,Black,Karnataka,Rabi,Maize
85.14,9.41,167.38,29.23,36.02,7.62,1249.83,Black,Madhya Pradesh,Kharif,Sugarcane
85.04,6.99,120.31,22.72,33.2,8.55,671.52,Saline,Rajasthan,Zaid,Potato
124.64,14.36,269.92,26.32,81.27,7.99,1292.82,Black,Tamil Nadu,Kharif,Sugarcane
59.67,9.19,230.41,29.13,48.98,8.04,903.81,Black,Madhya Pradesh,Kharif,Cotton
121.44,9.94,294.82,27.84,65.55,7.96,2312.27,Black,Karnataka,Zaid,Banana
105.04,5.04,86.09,23.08,65.46,5.16,934.4,Laterite,Telangana,Zaid,Potato
64.22,5.61,38.19,36.85,69.79,7.35,520.24,Sandy,Haryana,Rabi,Mustard
143.55,27.85,278.5,33.29,57.68,7.44,1171.01,Alluvial,Andhra Pradesh,Zaid,Banana
51.96,33.2,305.9,17.2,57.53,7.73,1749.82,Black,Odisha,Zaid,Banana
173.49,17.3,212.73,6.79,60.67,6.6,508.34,Clay,Punjab,Kharif,Sugarcane
94.71,14.88,147.22,16.99,87.09,5.1,1588.62,Laterite,Odisha,Zaid,Banana
75.28,4.06,47.3,30.96,63.79,6.32,1012.2,Laterite,Andhra Pradesh,Rabi,Tobacco
98.58,4.88,208.36,35.48,50.6,9.43,548.38,Saline,Gujarat,Kharif,Cotton
251.8,39.56,203.63,34.53,66.39,6.95,508.82,Clay,Punjab,Kharif,Sugarcane
281.23,39.28,109.33,20.79,58.39,7.88,381.31,Alluvial,Rajasthan,Rabi,Barley
28.35,8.79,144.66,26.78,51.1,6.77,989.25,Sandy,Gujarat,Zaid,Banana
203.16,30.25,203.44,31.37,61.53,6.66,1361.51,Alluvial,Bihar,Rabi,Maize
85.48,7.59,81.89,21.21,65.21,6.12,369.72,Sandy,Haryana,Rabi,Mustard
77.71,14.26,253.01,31.67,67.16,6.91,744.26,Red,Telangana,Kharif,Maize
136.17,15.0,198.11,28.23,52.75,6.34,913.2,Clay,Uttar Pradesh,Zaid,Banana
70.84,8.56,66.35,12.7,62.2,6.02,2387.75,Sandy,West Bengal,Rabi,Potato
231.29,21.32,165.96,32.06,69.62,7.09,363.39,Alluvial,Haryana,Kharif,Bajra
301.49,10.04,138.02,18.61,34.66,6.77,515.0,Alluvial,Haryana,Zaid,Potato
74.22,7.92,66.55,29.43,77.68,5.36,1170.67,Laterite,Andhra Pradesh,Kharif,Coconut
48.2,4.81,71.18,3.38,41.79,5.8,487.48,Sandy,Punjab,Kharif,Sesame
66.39,7.08,87.42,26.28,67.46,7.27,1518.65,Sandy,Bihar,Zaid,Potato
148.87,10.1,381.88,23.51,49.35,7.29,3466.61,Black,Karnataka,Rabi,Wheat
67.77,12.1,206.16,17.94,38.99,6.41,823.66,Red,Maharashtra,Kharif,Soybean
297.95,48.75,237.82,41.21,73.08,7.92,1083.7,Alluvial,Telangana,Rabi,Maize
200.62,24.02,171.32,16.12,59.18,6.22,1389.85,Clay,Bihar,Kharif,Sugarcane
129.85,7.42,136.15,23.32,76.36,6.9,1633.23,Red,Odisha,Rabi,Chilli
54.71,4.45,89.34,27.42,62.31,6.31,1188.32,Laterite,Telangana,Kharif,Ragi
174.43,9.18,41.81,21.27,61.98,5.2,1328.19,Laterite,Odisha,Rabi,Potato
219.95,17.7,206.06,33.24,36.8,7.59,629.36,Alluvial,Uttar Pradesh,Zaid,Potato
43.58,15.96,83.67,12.59,35.07,6.82,310.34,Sandy,Haryana,Zaid,Potato
145.3,6.11,93.02,22.44,74.04,6.91,608.8,Sandy,Tamil Nadu,Zaid,Potato
87.39,24.43,236.15,34.45,84.25,7.34,1974.79,Alluvial,Kerala,Rabi,Chilli
190.43,23.36,178.15,34.57,44.05,6.79,1022.75,Red,Telangana,Zaid,Banana
48.25,6.71,118.13,21.59,77.12,7.02,806.83,Sandy,Uttar Pradesh,Rabi,Potato
69.75,10.08,85.9,28.29,49.12,6.32,1236.1,Sandy,Bihar,Zaid,Potato
122.48,14.69,121.05,11.54,20.4,6.36,470.01,Red,Rajasthan,Zaid,Banana
100.45,25.13,152.7,25.42,32.96,8.2,1151.17,Black,Uttar Pradesh,Kharif,Rice
61.65,11.4,57.41,34.94,59.34,5.6,1238.57,Red,West Bengal,Rabi,Tobacco
133.78,3.88,38.49,32.94,52.42,7.07,842.92,Sandy,Punjab,Zaid,Potato
208.43,20.11,152.34,20.79,66.08,6.66,1024.22,Alluvial,Karnataka,Kharif,Cotton
113.59,3.73,77.64,22.66,65.36,5.04,1386.63,Laterite,Maharashtra,Kharif,Coffee
267.63,37.03,117.37,13.56,91.3,7.35,2474.37,Alluvial,Assam,Zaid,Potato
43.49,6.76,127.36,30.51,37.87,8.86,517.12,Saline,Gujarat,Kharif,Bajra
123.41,7.12,154.18,44.09,52.92,5.59,1184.69,Sandy,Uttar Pradesh,Rabi,Potato
94.37,12.49,88.41,28.65,66.54,6.22,1250.62,Laterite,Odisha,Rabi,Groundnut
142.63,31.71,67.51,26.27,66.39,6.0,3381.11,Red,Karnataka,Kharif,Cotton
197.22,15.29,303.88,18.86,71.45,6.55,1025.92,Clay,Bihar,Kharif,Sugarcane
131.5,16.13,95.27,35.33,89.11,5.8,1880.79,Laterite,Kerala,Kharif,Coconut
42.56,5.95,54.81,34.79,81.33,6.27,1060.55,Sandy,Bihar,Zaid,Banana
75.99,24.36,289.84,22.68,75.92,7.57,744.88,Black,Gujarat,Zaid,Potato
152.15,12.88,129.43,22.45,57.7,7.23,880.76,Alluvial,Telangana,Kharif,Maize
129.69,15.96,228.47,28.76,82.61,5.42,1944.24,Laterite,Kerala,Rabi,Chilli
70.67,10.3,156.72,36.34,79.72,5.51,1295.39,Red,West Bengal,Kharif,Jute
137.75,7.71,83.28,27.09,69.15,5.74,1096.6,Red,Tamil Nadu,Rabi,Maize
50.08,6.19,92.72,30.09,66.23,7.22,1256.26,Sandy,Bihar,Zaid,Potato
79.66,9.27,98.25,27.51,56.45,5.25,745.93,Laterite,Tamil Nadu,Rabi,Groundnut
80.26,16.49,91.54,29.1,72.62,6.72,1256.86,Red,Odisha,Kharif,Turmeric
56.26,14.77,101.45,36.45,50.54,5.82,1694.73,Red,Maharashtra,Rabi,Jowar
109.4,21.91,215.2,18.16,38.71,7.22,1500.39,Alluvial,Madhya Pradesh,Rabi,Wheat
96.48,6.26,70.64,16.77,57.69,6.31,684.44,Sandy,Haryana,Kharif,Cotton
133.92,6.44,95.22,34.29,86.75,6.3,2367.88,Laterite,Kerala,Zaid,Banana
42.53,4.64,24.22,22.56,88.33,6.48,1879.82,Sandy,Kerala,Zaid,Banana
61.32,11.91,125.72,36.33,40.32,6.12,1690.78,Laterite,Maharashtra,Zaid,Banana
331.75,21.98,148.16,29.17,79.44,7.06,1004.59,Alluvial,Bihar,Kharif,Maize
158.46,13.97,107.97,14.27,81.74,7.48,1367.36,Alluvial,West Bengal,Zaid,Banana
87.54,18.72,242.14,15.93,77.19,6.56,1443.51,Clay,Bihar,Rabi,Wheat
108.19,23.23,98.34,36.41,82.57,7.45,1587.08,Black,Odisha,Kharif,Sugarcane
93.74,9.47,154.84,32.82,30.79,8.25,1555.91,Black,Madhya Pradesh,Zaid,Banana
29.48,9.88,59.39,43.77,21.97,8.17,313.09,Saline,Rajasthan,Zaid,Banana
64.77,19.73,163.96,15.94,91.63,7.38,1880.38,Alluvial,Assam,Zaid,Banana
69.35,11.52,133.18,18.05,49.62,8.14,797.02,Black,Karnataka,Kharif,Cotton
186.03,5.97,125.63,28.63,64.29,6.47,1077.77,Laterite,Madhya Pradesh,Rabi,Tobacco
172.97,11.42,57.9,32.71,39.13,6.51,2469.38,Red,Maharashtra,Kharif,Jowar
355.88,33.28,80.21,35.33,92.61,7.24,1915.48,Alluvial,Kerala,Rabi,Jowar
158.37,20.61,179.78,26.37,81.21,6.77,688.39,Alluvial,Maharashtra,Zaid,Banana
65.55,5.91,83.3,37.26,40.48,6.45,2371.28,Laterite,Maharashtra,Zaid,Banana
94.01,3.4,47.61,24.78,84.17,7.46,1504.42,Sandy,Kerala,Zaid,Banana
129.43,29.09,234.5,19.67,64.51,5.94,664.37,Red,Karnataka,Rabi,Potato
79.11,22.85,324.47,32.62,51.39,7.95,2189.51,Alluvial,Karnataka,Kharif,Cotton
131.15,9.47,108.62,28.41,48.81,7.18,1269.07,Black,Karnataka,Rabi,Jowar
110.29,11.36,113.94,34.27,32.21,5.8,1170.59,Red,Madhya Pradesh,Rabi,Tobacco
97.82,8.5,95.78,20.74,61.9,6.56,1038.68,Sandy,Uttar Pradesh,Zaid,Potato
74.49,11.23,108.19,16.02,50.84,6.41,1681.64,Red,Maharashtra,Zaid,Banana
91.33,4.26,103.62,24.19,80.05,6.78,2385.59,Red,Kerala,Kharif,Tea
102.05,16.97,83.68,35.11,54.6,5.98,874.41,Red,Telangana,Kharif,Cotton
78.22,11.71,75.19,23.32,76.03,6.28,641.92,Red,Maharashtra,Zaid,Potato
278.75,22.53,94.41,27.05,73.55,7.34,920.6,Alluvial,Andhra Pradesh,Kharif,Sugarcane
281.77,26.39,147.82,23.99,46.74,7.27,799.4,Alluvial,Maharashtra,Kharif,Cotton
128.69,12.57,88.97,32.79,47.98,6.52,411.34,Alluvial,Punjab,Rabi,Wheat
83.14,5.95,87.68,24.68,80.14,6.42,764.68,Red,Andhra Pradesh,Kharif,Tobacco
165.67,2.62,100.49,35.37,70.51,6.15,916.03,Laterite,Andhra Pradesh,Rabi,Tobacco
74.72,14.73,98.84,40.79,61.21,5.33,908.82,Laterite,Madhya Pradesh,Zaid,Potato
147.77,17.82,40.33,37.1,42.07,6.8,1148.76,Sandy,Uttar Pradesh,Kharif,Sugarcane
165.33,8.05,139.92,30.0,79.96,5.94,1237.75,Red,Maharashtra,Zaid,Banana
133.65,38.4,234.72,15.82,56.24,7.15,609.01,Alluvial,Haryana,Kharif,Cotton
120.97,13.05,122.31,20.98,81.5,7.07,2422.54,Black,Maharashtra,Zaid,Banana
96.65,5.58,114.91,33.1,56.54,6.14,1513.62,Laterite,Odisha,Rabi,Groundnut
41.13,10.78,132.87,33.52,45.06,5.77,1038.58,Laterite,Telangana,Rabi,Chilli
82.31,29.89,131.63,34.16,59.38,5.96,1401.7,Red,Odisha,Rabi,Groundnut
